team,possession,pressing,transition_speed,defensive_block,set_piece_strength,crossing_frequency
Spain,0.92,0.74,0.55,0.40,0.58,0.50
France,0.66,0.70,0.86,0.58,0.66,0.58
England,0.70,0.66,0.64,0.62,0.74,0.66
Argentina,0.72,0.72,0.70,0.60,0.68,0.52
Brazil,0.74,0.70,0.80,0.48,0.60,0.58
Portugal,0.74,0.68,0.66,0.52,0.64,0.62
Netherlands,0.72,0.64,0.62,0.58,0.66,0.60
Germany,0.78,0.76,0.58,0.50,0.60,0.58
Belgium,0.66,0.58,0.70,0.56,0.62,0.60
Croatia,0.74,0.56,0.52,0.60,0.58,0.52
Uruguay,0.54,0.62,0.66,0.70,0.66,0.50
Colombia,0.62,0.66,0.68,0.58,0.58,0.56
Morocco,0.56,0.72,0.74,0.74,0.60,0.52
Switzerland,0.58,0.56,0.58,0.72,0.62,0.54
Japan,0.66,0.74,0.72,0.56,0.52,0.56
Senegal,0.50,0.70,0.80,0.68,0.62,0.54
USA,0.56,0.74,0.74,0.58,0.56,0.58
United States,0.56,0.74,0.74,0.58,0.56,0.58
Mexico,0.62,0.66,0.66,0.56,0.56,0.62
Ecuador,0.52,0.64,0.70,0.66,0.58,0.50
Denmark,0.62,0.62,0.58,0.62,0.66,0.60
Norway,0.54,0.58,0.72,0.58,0.66,0.58
Austria,0.58,0.78,0.62,0.60,0.62,0.56
Türkiye,0.62,0.62,0.70,0.54,0.60,0.62
Sweden,0.50,0.54,0.66,0.68,0.70,0.62
Iran,0.44,0.56,0.66,0.78,0.60,0.48
South Korea,0.56,0.74,0.72,0.58,0.54,0.54
Australia,0.50,0.66,0.62,0.66,0.64,0.60
Canada,0.54,0.70,0.76,0.56,0.56,0.58
Egypt,0.52,0.58,0.66,0.68,0.58,0.50
Côte d'Ivoire,0.52,0.66,0.78,0.62,0.60,0.52
Algeria,0.58,0.64,0.70,0.58,0.58,0.54
Nigeria,0.52,0.66,0.78,0.60,0.58,0.54
Paraguay,0.46,0.58,0.62,0.74,0.64,0.50
Scotland,0.50,0.60,0.60,0.66,0.68,0.62
Czechia,0.54,0.56,0.60,0.64,0.66,0.60
Tunisia,0.48,0.60,0.62,0.74,0.58,0.48
DR Congo,0.50,0.64,0.74,0.62,0.58,0.52
Ghana,0.50,0.62,0.74,0.62,0.56,0.52
Uzbekistan,0.52,0.56,0.60,0.66,0.58,0.50
Qatar,0.56,0.58,0.58,0.62,0.54,0.52
Saudi Arabia,0.54,0.68,0.66,0.56,0.52,0.50
South Africa,0.52,0.62,0.66,0.58,0.54,0.52
Panama,0.44,0.56,0.60,0.72,0.58,0.50
Jordan,0.46,0.56,0.60,0.70,0.56,0.48
Iraq,0.48,0.56,0.62,0.66,0.56,0.48
Bosnia and Herzegovina,0.56,0.54,0.60,0.62,0.64,0.58
Cabo Verde,0.48,0.62,0.72,0.62,0.54,0.50
New Zealand,0.46,0.56,0.62,0.70,0.66,0.58
Haiti,0.46,0.58,0.70,0.60,0.52,0.50
Curaçao,0.48,0.56,0.66,0.60,0.52,0.50
