venue,city,country,altitude_m,temp_c,humidity_pct,lat,lon
Azteca,Mexico City,Mexico,2240,22,55,19.30,-99.15
Akron,Guadalajara,Mexico,1566,24,52,20.68,-103.46
BBVA,Monterrey,Mexico,540,33,48,25.67,-100.24
MetLife,New York/New Jersey,USA,7,25,64,40.81,-74.07
SoFi,Los Angeles,USA,30,24,58,33.95,-118.34
ATT,Dallas,USA,150,34,52,32.75,-97.09
Arrowhead,Kansas City,USA,270,30,55,39.05,-94.48
NRG,Houston,USA,15,33,74,29.68,-95.41
Mercedes-Benz,Atlanta,USA,320,30,68,33.76,-84.40
Levi's,San Francisco Bay,USA,5,25,55,37.40,-121.97
Lincoln,Philadelphia,USA,10,27,62,39.90,-75.17
Lumen,Seattle,USA,10,21,60,47.59,-122.33
Hard Rock,Miami,USA,2,31,80,25.96,-80.24
Gillette,Boston,USA,28,25,62,42.09,-71.26
BMO,Toronto,Canada,76,24,62,43.63,-79.42
BC Place,Vancouver,Canada,3,20,68,49.28,-123.11
