team,LLM,Random,Defaults
Spain,12.0,13.0,8.0
France,11.0,8.0,5.0
Argentina,8.0,10.0,11.0
Portugal,8.0,3.0,5.0
Switzerland,6.0,2.0,2.0
England,6.0,6.0,6.0
Norway,5.0,1.0,3.0
Brazil,5.0,4.0,4.0
Türkiye,4.0,3.0,3.0
Morocco,4.0,3.0,1.0
Netherlands,3.0,12.0,4.0
Germany,3.0,2.0,3.0
Canada,3.0,0.0,1.0
Austria,3.0,1.0,4.0
Scotland,2.0,2.0,0.0
Japan,2.0,2.0,5.0
Senegal,2.0,2.0,6.0
Uruguay,2.0,6.0,0.0
Ecuador,2.0,2.0,6.0
Czechia,2.0,0.0,0.0
Colombia,2.0,7.0,5.0
Belgium,2.0,3.0,4.0
Croatia,1.0,2.0,2.0
Australia,1.0,0.0,0.0
United States,1.0,4.0,3.0
DR Congo,0.0,0.0,1.0
Côte d'Ivoire,0.0,1.0,1.0
Paraguay,0.0,0.0,3.0
Bosnia and Herzegovina,0.0,0.0,1.0
Sweden,0.0,1.0,1.0
Algeria,0.0,0.0,2.0
