Country,Reach R32 %,Reach R16 %,Reach QF %,Reach SF %,Reach Final %,Win Trophy %
France,95.4,63.1,43.1,30.8,21.5,10.8
Spain,93.8,63.1,40.0,27.7,13.8,9.2
Switzerland,90.8,67.7,46.2,21.5,13.8,9.2
Portugal,89.2,61.5,41.5,18.5,15.4,7.7
Brazil,93.8,60.0,36.9,24.6,16.9,6.2
England,93.8,64.6,43.1,20.0,9.2,4.6
Argentina,95.4,58.5,40.0,20.0,7.7,4.6
Norway,81.5,46.2,26.2,10.8,7.7,4.6
Austria,72.3,32.3,21.5,12.3,4.6,4.6
Canada,83.1,43.1,24.6,9.2,4.6,4.6
Morocco,96.9,53.8,30.8,12.3,9.2,3.1
Scotland,76.9,32.3,16.9,9.2,7.7,3.1
Japan,72.3,38.5,16.9,10.8,6.2,3.1
Türkiye,86.2,52.3,24.6,10.8,6.2,3.1
Colombia,80.0,46.2,23.1,12.3,4.6,3.1
Ecuador,87.7,50.8,26.2,10.8,4.6,3.1
Uruguay,86.2,40.0,15.4,7.7,4.6,3.1
Senegal,73.8,30.8,9.2,6.2,3.1,3.1
Germany,92.3,53.8,33.8,20.0,9.2,1.5
United States,80.0,46.2,24.6,10.8,6.2,1.5
Belgium,90.8,60.0,29.2,18.5,4.6,1.5
Australia,49.2,20.0,4.6,3.1,1.5,1.5
Croatia,80.0,52.3,27.7,9.2,1.5,1.5
Czechia,52.3,18.5,3.1,1.5,1.5,1.5
Egypt,78.5,35.4,12.3,9.2,3.1,0.0
Mexico,98.5,43.1,16.9,7.7,1.5,0.0
Netherlands,86.2,49.2,18.5,7.7,1.5,0.0
Panama,49.2,10.8,7.7,1.5,1.5,0.0
Saudi Arabia,41.5,7.7,4.6,3.1,1.5,0.0
South Korea,100.0,41.5,12.3,1.5,1.5,0.0
Sweden,64.6,24.6,12.3,6.2,1.5,0.0
Tunisia,49.2,13.8,7.7,6.2,1.5,0.0
Algeria,63.1,21.5,6.2,4.6,0.0,0.0
Bosnia and Herzegovina,53.8,23.1,3.1,0.0,0.0,0.0
Cabo Verde,35.4,6.2,0.0,0.0,0.0,0.0
Curaçao,18.5,4.6,1.5,0.0,0.0,0.0
Côte d'Ivoire,61.5,24.6,9.2,1.5,0.0,0.0
DR Congo,55.4,24.6,9.2,1.5,0.0,0.0
Ghana,35.4,6.2,4.6,0.0,0.0,0.0
Haiti,7.7,3.1,1.5,1.5,0.0,0.0
Iran,55.4,23.1,6.2,3.1,0.0,0.0
Iraq,20.0,6.2,1.5,0.0,0.0,0.0
Jordan,30.8,7.7,1.5,0.0,0.0,0.0
New Zealand,35.4,9.2,3.1,1.5,0.0,0.0
Paraguay,66.2,33.8,9.2,4.6,0.0,0.0
Qatar,40.0,3.1,0.0,0.0,0.0,0.0
South Africa,21.5,9.2,0.0,0.0,0.0,0.0
Uzbekistan,38.5,12.3,1.5,0.0,0.0,0.0
