Country,Reach R16 %,Reach QF %,Reach SF %,Reach Final %,Win Trophy %
France,67.0,48.0,29.0,20.0,15.0
Croatia,44.0,23.0,16.0,11.0,10.0
Netherlands,52.0,29.0,19.0,10.0,8.0
Colombia,49.0,31.0,19.0,10.0,7.0
Brazil,52.0,30.0,20.0,14.0,7.0
Spain,65.0,45.0,26.0,17.0,6.0
England,57.0,38.0,23.0,16.0,6.0
Argentina,56.0,40.0,19.0,13.0,6.0
Norway,45.0,25.0,13.0,8.0,4.0
Türkiye,48.0,25.0,14.0,5.0,4.0
Switzerland,54.0,24.0,13.0,6.0,3.0
Portugal,52.0,31.0,21.0,7.0,3.0
Germany,57.0,26.0,14.0,4.0,3.0
Ecuador,45.0,18.0,11.0,6.0,3.0
Belgium,65.0,35.0,23.0,11.0,2.0
Morocco,46.0,21.0,10.0,5.0,2.0
Uruguay,49.0,24.0,13.0,4.0,1.0
Japan,32.0,20.0,11.0,4.0,1.0
South Korea,32.0,11.0,3.0,2.0,1.0
DR Congo,19.0,6.0,4.0,2.0,1.0
Tunisia,19.0,3.0,2.0,1.0,1.0
Mexico,50.0,19.0,4.0,1.0,1.0
Ghana,19.0,7.0,2.0,1.0,1.0
Czechia,28.0,9.0,2.0,1.0,1.0
Canada,41.0,19.0,6.0,3.0,1.0
Bosnia and Herzegovina,28.0,12.0,1.0,1.0,1.0
Scotland,35.0,18.0,10.0,3.0,1.0
Côte d'Ivoire,25.0,8.0,3.0,0.0,0.0
Panama,16.0,8.0,2.0,0.0,0.0
South Africa,4.0,0.0,0.0,0.0,0.0
Qatar,9.0,3.0,1.0,1.0,0.0
Uzbekistan,14.0,3.0,1.0,0.0,0.0
Jordan,9.0,3.0,1.0,0.0,0.0
Austria,24.0,6.0,3.0,0.0,0.0
Algeria,26.0,11.0,3.0,3.0,0.0
Sweden,30.0,14.0,5.0,0.0,0.0
Senegal,42.0,26.0,7.0,3.0,0.0
Iraq,8.0,4.0,1.0,0.0,0.0
Australia,23.0,13.0,5.0,3.0,0.0
Cabo Verde,11.0,2.0,1.0,1.0,0.0
Saudi Arabia,12.0,2.0,0.0,0.0,0.0
Paraguay,36.0,20.0,4.0,0.0,0.0
United States,32.0,13.0,6.0,1.0,0.0
Iran,25.0,11.0,5.0,0.0,0.0
Egypt,22.0,8.0,2.0,1.0,0.0
New Zealand,10.0,2.0,1.0,0.0,0.0
Curaçao,7.0,2.0,0.0,0.0,0.0
Haiti,9.0,4.0,1.0,1.0,0.0
